STT,ID Slug,Code,Khu vực,Tên gốc (trước sáp nhập),Tên hiển thị (sau sáp nhập),Tỉnh cũ,Tỉnh mới,Địa chỉ cũ (chi tiết),Địa chỉ mới (sau sáp nhập chi tiết),Lat,Lng,Google Maps Place URL,Google Maps Embed iframe HTML,Phone 1,Phone 2,Email,Website subpath,Trạng thái,Giờ T2-T6,Giờ T7,Giờ CN,Quản lý điểm,Ngày cập nhật (DD/MM/YYYY),Cap: Phim 3M,Cap: Phim LLumar,Cap: PPF SunTek,Cap: Đèn Bi Led Xlight,Cap: Đèn GTR,Cap: Camera hành trình,Cap: Âm thanh,Cap: DVD Android,Cap: Xe điện / VinFast,Ảnh mặt tiền URL,Ảnh interior 1 URL,Ảnh interior 2 URL,Video giới thiệu URL,Google Business Profile URL,Facebook Fanpage URL,Zalo OA URL,Rating GBP (0-5),Số review GBP,Ghi chú riêng
1,bac-kan,A365·BR·027,Miền Bắc,Auto365 Bắc Kạn,Auto365 Bắc Kạn (Thái Nguyên mới),Bắc Kạn,Thái Nguyên,"474 Kon Tum, Tổ 5","474, Tổ 5A, Phường Bắc Kạn, Tỉnh Thái Nguyên",21.59,105.85,,,0914.355.365,0944.355.365,,/bac-kan,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/bac-kan/auto365-bac-kan-18.jpg,,,,,,,,,
2,thai-nguyen,A365·BR·048,Miền Bắc,Auto365 Thái Nguyên,Auto365 Thái Nguyên (Thái Nguyên mới),Thái Nguyên,Thái Nguyên,579 Phan Đình Phùng,"579 Phan Đình Phùng, Phường Phan Đình Phùng, Tỉnh Thái Nguyên",21.58738,105.84054,,,0777.365.365,0969.006.007,,/thai-nguyen,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/auto365-thai-nguyen.jpg,,,,,,,,,
3,bac-ninh,A365·BR·022,Miền Bắc,Auto365 Bắc Ninh,Auto365 Bắc Ninh (Bắc Ninh mới),Bắc Ninh,Bắc Ninh,"Khu 10, Đại Phúc (đối diện Long gà Đại Phúc)","SN21, Đường Phúc Đức, Khu 10, Phường Võ Cường, Tỉnh Bắc Ninh",21.19,106.06,,,0982.68.56.95,0961.616.959,,/bac-ninh,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-bac-ninh/khu-vuc-ben-ngoai.jpg,,,,,,,,,
4,bac-giang,A365·BR·018,Miền Bắc,Auto365 Bắc Giang,Auto365 Bắc Giang (Bắc Ninh mới),Bắc Giang,Bắc Ninh,131-133 Nguyễn Thị Minh Khai,"Số 131 - 133 Đường Nguyễn Thị Minh Khai, Phường Bắc Giang, Tỉnh Bắc Ninh",21.28198,106.20888,,,0978.416.111,,,/bac-giang,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/365bacgiang.jpg,,,,,,,,,
5,cao-bang,A365·BR·033,Miền Bắc,Auto365 Cao Bằng,Auto365 Cao Bằng,Cao Bằng,Cao Bằng,Số nhà 216 Đường 3/10,"Số 216, đường 3/10, tổ 9 - Sông Bằng, Phường Nùng Trí Cao, Tỉnh Cao Bằng.",22.66,106.26,,,0965.367.365,,,/cao-bang,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/Auto365 Cao Bằng.jpg,,,,,,,,,
6,dien-bien-phu,A365·BR·026,Miền Bắc,Auto365 Điện Biên,Auto365 Điện Biên,Điện Biên,Điện Biên,"Tổ 1, TP. Điện Biên Phủ","Số 8A, tổ 1, đường Võ Nguyên Giáp, phường Him Lam, thành phố Điện Biên Phủ",21.39236,103.01599,,,0898.517.888,,,/dien-bien-phu,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/auto365-dien-bien-phu.jpg,,,,,,,,,
7,ha-giang,A365·BR·017,Miền Bắc,Auto365 Hà Giang,Auto365 Hà Giang (Tuyên Quang mới),Hà Giang,Tuyên Quang,"60A Đường 19/5, Tổ 1","Số 60A Đường 19/5, Phường Hà Giang 1, Tỉnh Tuyên Quang",21.82,105.22,,,096.787.6666,0392.365.365,,/ha-giang,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/ha-giang/auto365-ha-giang-20.jpg,,,,,,,,,
8,tuyen-quang,A365·BR·040,Miền Bắc,Auto365 Tuyên Quang,Auto365 Tuyên Quang (Tuyên Quang mới),Tuyên Quang,Tuyên Quang,"Số 9, Tổ 21","Số 9 - Tổ 21, Phường Phan Thiết, Thành phố Tuyên Quang",21.82,105.22,,,0987.179.592,0975.948.659,,/tuyen-quang,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/auto365-tuyen-quang/update/tuyen-quang.jpg,,,,,,,,,
9,hai-duong,A365·BR·016,Miền Bắc,Auto365 Hải Dương,Auto365 Hải Dương (Hải Phòng mới),Hải Dương,Hải Phòng,"75 Ngô Quyền, khu thương mại Tuệ Tĩnh","Số 75 Đường Ngô Quyền, Khu thương mại Tuệ Tĩnh, TP. Hải Dương",20.86,106.68,,,093.883.9599,,,/hai-duong,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/about/chi-nhanh/hai-duong-cn2/120090948_2524682137754150_2017807614595194535_n.jpg,,,,,,,,,
10,hai-duong-cn2,A365·BR·032,Miền Bắc,Auto365 Hải Dương - Chi Nhánh 2,Auto365 Hải Dương - Chi Nhánh 2,Hải Dương,Hải Phòng,14 Ngô Quyền,"14 Ngô Quyền, Phường Ngọc Châu, TP. Hải Dương.",20.86691,106.70148,,,093.8839.599,0968.140.299,,/hai-duong-cn2,active,,,,,,,,,,,,,,,https://auto365.vn/uploads/images/HÌNH ĐẠI LÝ/MIỀN BẮC/Auto365 Hải Dương.png,,,,,,,,,
